Times: None   1
[None]: None

Times: 1.500s cmdTask   2
[ERROR]:  uartid: 2, err: 7

Times: 1.500s   3
[INFO]:  armTaskStart is running

Times: 1.501s   4
[INFO]:  EEPROM Test Pass

Times: 1.502s   5
[INFO]:  LCD ID:7789

Times: 1.635s   6
[INFO]:  Read TP Adjust Data xfac:-11.13, yfac:15.09, xc:2025, yc:1941, inited: 10

Times: 1.636s   7
[INFO]:  Read TP Adjust Data OK!

Times: 1.638s   8
[INFO]:  displayTaskStart is running

Times: 2.100s   9
[INFO]:  motorTaskStart is running

Times: 2.102s   10
[INFO]:  kp:16.00,ki:1.58,kd:0.70

Times: 2.102s   11
[INFO]:  pid init from eeprom

Times: 2.102s   12
[INFO]:  gyro is initialing, angle = 0.000000, offset = 0.000000

Times: 2.102s   13
[INFO]:  gyro is initialized

Times: 2.501s   14
[INFO]:  bspTaskStart is running

Times: 2.520s cmdTask   15
[ERROR]:  uartid: 2 lost frame: 3

Times: 17.231s   16
[INFO]:  ONE

Times: 17.231s   17
[INFO]:  x = 104.958366, y = 0.000000, z = 105.007278

Times: 19.721s   18
[INFO]:  ONE

Times: 19.721s   19
[INFO]:  x = 104.958366, y = 0.000000, z = 105.007278

Times: 23.941s   20
[INFO]:  ONE

Times: 23.941s   21
[INFO]:  x = 104.958366, y = 0.000000, z = 105.007278

Times: 24.857s   22
[INFO]:  TWO

Times: 24.857s   23
[INFO]:  deltaA = 0.000000, delta1 = -60.073158, delta2 = 17.306086, delta3 = -13.101853

Times: 24.858s   24
[INFO]:  x = 279.992798, y = 0.000000, z = 239.996292

Times: 24.858s   25
[INFO]:  pwm = 1140

Times: 28.858s   26
[INFO]:  servoControl id:1, pwm:1140

Times: 0.000s   27
[INFO]:  EasyLogger V2.2.99 is initialize success.

Times: 1.500s   28
[INFO]:  cmdTaskStart is running

Times: 1.500s   29
[INFO]:  armTaskStart is running

Times: 1.500s   30
[INFO]:  EEPROM Test Pass

Times: 1.502s   31
[INFO]:  LCD ID:7789

Times: 1.634s   32
[INFO]:  Read TP Adjust Data xfac:-11.13, yfac:15.09, xc:2025, yc:1941, inited: 10

Times: 1.635s   33
[INFO]:  Read TP Adjust Data OK!

Times: 1.637s   34
[INFO]:  displayTaskStart is running

Times: 2.100s   35
[INFO]:  motorTaskStart is running

Times: 2.102s   36
[INFO]:  kp:16.00,ki:1.58,kd:0.70

Times: 2.102s   37
[INFO]:  pid init from eeprom

Times: 2.102s   38
[INFO]:  gyro is initialing, angle = -0.010986, offset = 0.000000

Times: 2.102s   39
[INFO]:  gyro is initialized

Times: 2.500s   40
[INFO]:  bspTaskStart is running

Times: 1.500s   41
[INFO]:  cmdTaskStart is running

Times: 1.500s cmdTask   42
[ERROR]:  uartid: 2, err: 7

Times: 1.500s   43
[INFO]:  armTaskStart is running

Times: 1.501s   44
[INFO]:  EEPROM Test Pass

Times: 1.502s   45
[INFO]:  LCD ID:7789

Times: 1.635s   46
[INFO]:  Read TP Adjust Data xfac:-11.13, yfac:15.09T0INFO/[15.746s] ONE

Times: 15.746s   47
[INFO]:  x = 109.975204, y = 0.000000, z = 104.836182

Times: 18.061s   48
[INFO]:  ONE

Times: 18.061s   49
[INFO]:  x = 109.975204, y = 0.000000, z = 104.836182

Times: 22.701s   50
[INFO]:  TWO

Times: 22.701s   51
[INFO]:  deltaA = 0.000000, delta1 = -57.373146, delta2 = 19.506090, delta3 = -15.371637

Times: 22.701s   52
[INFO]:  x = 279.992798, y = 0.000000, z = 239.996292

Times: 22.701s   53
[INFO]:  pwm = 1140

Times: 26.701s   54
[INFO]:  servoControl id:1, pwm:1140

Times: 1.500s   55
[INFO]:  cmdTaskStart is running

Times: 1.500s cmdTask   56
[ERROR]:  uartid: 2, err: 7

Times: 1.500s   57
[INFO]:  armTaskStart is running

Times: 1.501s   58
[INFO]:  EEPROM Test Pass

Times: 1.502s   59
[INFO]:  LCD ID:7789

Times: 1.633s   60
[INFO]:  Read TP Adjust Data xfac:-11.13, yfac:15.09, xc:2025, yc:1941, inited: 10

Times: 1.634s   61
[INFO]:  Read TP Adjust Data OK!

Times: 1.636s   62
[INFO]:  displayTaskStart is running

Times: 2.100s   63
[INFO]:  motorTaskStart is running

Times: 2.102s   64
[INFO]:  kp:16.00,ki:1.58,kd:0.70

Times: 2.102s   65
[INFO]:  pid init from eeprom

Times: 2.102s   66
[INFO]:  gyro is initialing, angle = 0.005493, offset = 0.000000

Times: 2.102s   67
[INFO]:  gyro is initialized

Times: 2.501s   68
[INFO]:  bspTaskStart is running

